MSOA11CD,07/03/2020,14/03/2020,21/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,13/06/2020
E02001689,,3,,,2.54,1.72,1.44,,,,,,,
E02001690,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001691,,3,,,2.54,1.72,1.44,,,,,,,
E02001692,,3,,,2.54,1.72,1.44,,,,,,,
E02001693,,3,,,2.54,1.72,1.44,,,,,,,
E02001694,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001695,,3,,,2.54,1.72,1.44,,,,,,,
E02001696,,3,,,2.54,1.72,1.44,,,,,,,
E02001697,,3,,,2.54,1.72,1.44,,,,,,,
E02001698,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001699,,3,,,2.54,1.72,1.44,,,,,,,
E02001700,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001701,,3,,,2.54,1.72,1.44,,,,,,,
E02001702,,3,,,2.54,1.72,1.44,,,,,,,
E02001703,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001704,,3,,,2.54,1.72,1.44,,,,,,,
E02001705,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001706,,3,,,2.54,1.72,1.44,,,,,,,
E02001707,,3,,,2.54,1.72,1.44,,,,,,,
E02001708,,3,,,2.54,1.72,1.44,,,,,,,
E02001709,,3,,,2.54,1.72,1.44,,,,,,,
E02001710,,3,,,2.54,1.72,1.44,,,,,,,
E02001711,,3,2.76,,2.54,1.72,1.44,,,,,,,
E02001712,,3,,,2.54,1.72,1.44,,,,,,,
E02001713,,3,,,2.54,1.72,1.44,,,,,,,
E02001714,,3,,,2.54,1.72,1.44,,,,,,,
E02001715,,3,,,2.54,1.72,1.44,,,,,,,
E02001718,,3,2.76,,2.54,1.72,1.44,,,,,,,
E02001719,,3,,,2.54,1.72,1.44,,,,,,,
E02001720,,3,,,2.54,1.72,1.44,,,,,,,
E02001721,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001722,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001723,,3,2.76,,2.54,1.72,1.44,,,,,,,
E02001724,,3,,,2.54,1.72,1.44,,,,,,,
E02001725,,3,,,2.54,1.72,1.44,,,,,,,
E02001726,,3,2.76,,2.54,1.72,1.44,,,,,,,
E02001727,,3,,,2.54,1.72,1.44,,,,,,,
E02001728,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001729,,3,,,2.54,1.72,1.44,,,,,,,
E02001730,,3,,,2.54,1.72,1.44,,,,,,,
E02001731,,3,,,2.54,1.72,1.44,,,,,,,
E02001732,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001733,,3,,,2.54,1.72,1.44,,,,,,,
E02001734,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02001735,,3,,,2.54,1.72,1.44,,,,,,,
E02001736,,3,2.76,,2.54,1.72,1.44,,,,,,,
E02001737,,3,,,2.54,1.72,1.44,,,,,,,
E02001738,,,,,2.54,1.72,1.44,,,,,,,
E02001739,,,,,2.54,1.72,1.44,,,,,,,
E02001740,,,,,2.54,1.72,1.44,,,,,,,
E02001741,,,,,2.54,1.72,1.44,,,,,,,
E02001742,,,,,2.54,1.72,1.44,,,,,,,
E02001743,,,,,2.54,1.72,1.44,,,,,,,
E02001744,,,,,2.54,1.72,1.44,,,,,,,
E02001745,,,,,2.54,1.72,1.44,,,,,,,
E02001746,,,,,2.54,1.72,1.44,,,,,,,
E02001747,,,,,2.54,1.72,1.44,,,,,,,
E02001748,,,,,2.54,1.72,1.44,,,,,,,
E02001749,,,,,2.54,1.72,1.44,,,,,,,
E02001750,,,,,2.54,1.72,1.44,,,,,,,
E02001751,,,,,2.54,1.72,1.44,,,,,,,
E02001752,,,,,2.54,1.72,1.44,,,,,,,
E02001753,,,,,2.54,1.72,1.44,,,,,,,
E02001754,,,,,2.54,1.72,1.44,,,,,,,
E02001755,,,,,2.54,1.72,1.44,,,,,,,
E02001756,,,,,2.54,1.72,1.44,,,,,,,
E02001757,,,,,2.54,1.72,1.44,,,,,,,
E02001758,,,,,2.54,1.72,1.44,,,,,,,
E02001759,,,,,2.54,1.72,1.44,,,,,,,
E02001760,,,,,2.54,1.72,1.44,,,,,,,
E02001761,,,,,2.54,1.72,1.44,,,,,,,
E02001762,,,,,2.54,1.72,1.44,,,,,,,
E02001763,,,,,2.54,1.72,1.44,,,,,,,
E02001764,,,,,2.54,1.72,1.44,,,,,,,
E02001765,,,,,2.54,1.72,1.44,,,,,,,
E02001766,,,,,2.54,1.72,1.44,,,,,,,
E02001767,,,,,2.54,1.72,1.44,,,,,,,
E02001768,,,,,2.54,1.72,1.44,,,,,,,
E02001769,,,,,2.54,1.72,1.44,,,,,,,
E02001770,,,,,2.54,1.72,1.44,,,,,,,
E02001771,,,,,2.54,1.72,1.44,,,,,,,
E02001772,,,,,2.54,1.72,1.44,,,,,,,
E02001773,,,,,2.54,1.72,1.44,,,,,,,
E02001774,,,,,2.54,1.72,1.44,,,,,,,
E02001775,,,,,2.54,1.72,1.44,,,,,,,
E02001776,,,,,2.54,1.72,1.44,,,,,,,
E02001777,,3,,,2.54,1.72,1.44,,,,,,,
E02001778,,,,,2.54,1.72,1.44,,,,,,,
E02001779,,,,,2.54,1.72,1.44,,,,,,,
E02001780,,,,,2.54,1.72,1.44,,,,,,,
E02001781,,,,,2.54,1.72,1.44,,,,,,,
E02001782,,3,,,2.54,1.72,1.44,,,,,,,
E02001783,,,,,2.54,1.72,1.44,,,,,,,
E02001784,,,,,2.54,1.72,1.44,,,,,,,
E02001785,,,,,2.54,1.72,1.44,,,,,,,
E02001786,,,,,2.54,1.72,1.44,,,,,,,
E02001787,,,,,2.54,1.72,1.44,,,,,,,
E02001788,,,,,2.54,1.72,1.44,,,,,,,
E02001789,,,,,2.54,1.72,1.44,,,,,,,
E02001790,,,,,2.54,1.72,1.44,,,,,,,
E02001791,,,,,2.54,1.72,1.44,,,,,,,
E02001792,,,,,2.54,1.72,1.44,,,,,,,
E02001793,,3,,,2.54,1.72,1.44,,,,,,,
E02001794,,,,,2.54,1.72,1.44,,,,,,,
E02001795,,,,,2.54,1.72,1.44,,,,,,,
E02001796,,,,,2.54,1.72,1.44,,,,,,,
E02001797,,3,,,2.54,1.72,1.44,,,,,,,
E02001798,,3,,,2.54,1.72,1.44,,,,,,,
E02001799,,3,,,2.54,1.72,1.44,,,,,,,
E02001800,,3,,,2.54,1.72,1.44,,,,,,,
E02001801,,,,,2.54,1.72,1.44,,,,,,,
E02001802,,3,,,2.54,1.72,1.44,,,,,,,
E02001803,,,,,2.54,1.72,1.44,,,,,,,
E02001804,,3,,,2.54,1.72,1.44,,,,,,,
E02001805,,3,,,2.54,1.72,1.44,,,,,,,
E02001806,,,,,2.54,1.72,1.44,,,,,,,
E02001807,,3,,,2.54,1.72,1.44,,,,,,,
E02001808,,,,,2.54,1.72,1.44,,,,,,,
E02001809,,3,,,2.54,1.72,1.44,,,,,,,
E02001810,,3,,,2.54,1.72,1.44,,,,,,,
E02001811,,3,,,2.54,1.72,1.44,,,,,,,
E02001812,,,,,2.54,1.72,1.44,,,,,,,
E02001813,,3,,,2.54,1.72,1.44,,,,,,,
E02001814,,,,,2.54,1.72,1.44,,,,,,,
E02001815,,3,,,2.54,1.72,1.44,,,,,,,
E02001816,,3,,,2.54,1.72,1.44,,,,,,,
E02001817,,3,,,2.54,1.72,1.44,,,,,,,
E02001818,,,,,2.54,1.72,1.44,,,,,,,
E02001819,,3,,,2.54,1.72,1.44,,,,,,,
E02001820,,3,,,2.54,1.72,1.44,,,,,,,
E02001821,,3,,,2.54,1.72,1.44,,,,,,,
E02001822,,3,,,2.54,1.72,1.44,,,,,,,
E02001823,,3,,,2.54,1.72,1.44,,,,,,,
E02001824,,3,,,2.54,1.72,1.44,,,,,,,
E02001825,,3,,,2.54,1.72,1.44,,,,,,,
E02001826,,3,,,2.54,1.72,1.44,,,,,,,
E02001827,,4.29,4.12,4.35,,,,,,,,,,
E02001828,,4.29,4.12,4.35,,,,,,,,,,
E02001829,,4.29,4.12,4.35,,,,,,,,,,
E02001830,,4.29,4.12,4.35,,,,,,,,,,
E02001831,,4.29,4.12,4.35,,,,,,,,,,
E02001832,,4.29,4.12,4.35,,,,,,,,,,
E02001833,,4.29,4.12,4.35,,,,,,,,,,
E02001834,,4.29,4.12,4.35,,,,,,,,,,
E02001835,,4.29,4.12,4.35,,,,,,,,,,
E02001836,,4.29,4.12,4.35,,,,,,,,,,
E02001837,,4.29,4.12,4.35,,,,,,,,,,
E02001838,,4.29,4.12,4.35,,,,,,,,,,
E02001839,,4.29,4.12,4.35,,,,,,,,,,
E02001840,,4.29,4.12,4.35,,,,,,,,,,
E02001841,,4.29,4.12,4.35,,,,,,,,,,
E02001842,,4.29,4.12,4.35,,,,,,,,,,
E02001843,,4.29,4.12,4.35,,,,,,,,,,
E02001844,,4.29,4.12,4.35,,,,,,,,,,
E02001845,,4.29,4.12,4.35,,,,,,,,,,
E02001846,,4.29,4.12,4.35,,,,,,,,,,
E02001847,,4.29,4.12,4.35,,,,,,,,,,
E02001848,,4.29,4.12,4.35,,,,,,,,,,
E02001849,,4.29,4.12,4.35,,,,,,,,,,
E02001850,,4.29,4.12,4.35,,,,,,,,,,
E02001851,,4.29,4.12,4.35,,,,,,,,,,
E02001852,,4.29,4.12,4.35,,,,,,,,,,
E02001854,,4.29,4.12,4.35,,,,,,,,,,
E02001855,,4.29,4.12,4.35,,,,,,,,,,
E02001856,,4.29,4.12,4.35,,,,,,,,,,
E02001857,,4.29,4.12,4.35,,,,,,,,,,
E02001858,,4.29,4.12,4.35,,,,,,,,,,
E02001859,,4.29,4.12,4.35,,,,,,,,,,
E02001860,,4.29,4.12,4.35,,,,,,,,,,
E02001861,,4.29,4.12,4.35,,,,,,,,,,
E02001862,,4.29,4.12,3.08,,,,,,,,,,
E02001863,,4.29,4.12,4.35,,,,,,,,,,
E02001864,,4.29,4.12,4.35,,,,,,,,,,
E02001865,,4.29,4.12,4.35,,,,,,,,,,
E02001866,,4.29,4.12,4.35,,,,,,,,,,
E02001867,,4.29,4.12,4.35,,,,,,,,,,
E02001868,,4.29,4.12,4.35,,,,,,,,,,
E02001869,,4.29,4.12,4.35,,,,,,,,,,
E02001870,,4.29,4.12,4.35,,,,,,,,,,
E02001871,,4.29,4.12,4.35,,,,,,,,,,
E02001872,,,4.12,4.35,,,,,,,,,,
E02001873,,4.29,4.12,,,,,,,,,,,
E02001874,,4.29,4.12,4.35,,,,,,,,,,
E02001875,,4.29,4.12,4.35,,,,,,,,,,
E02001876,,4.29,4.12,4.35,,,,,,,,,,
E02001877,,4.29,4.12,4.35,,,,,,,,,,
E02001878,,4.29,4.12,4.35,,,,,,,,,,
E02001879,,4.29,4.12,,,,,,,,,,,
E02001880,,,4.12,4.35,,,,,,,,,,
E02001881,,,4.12,4.35,,,,,,,,,,
E02001882,,,4.12,4.35,,,,,,,,,,
E02001883,,,4.12,4.35,,,,,,,,,,
E02001884,,,4.12,4.35,,,,,,,,,,
E02001886,,,,3.57,,,,,,,,,,
E02001888,,,4.12,4.35,,,,,,,,,,
E02001889,,,4.12,4.35,,,,,,,,,,
E02001890,,,,3.57,,,,,,,,,,
E02001892,,,4.12,4.35,,,,,,,,,,
E02001893,,,4.12,4.35,,,,,,,,,,
E02001895,,,4.12,4.35,,,,,,,,,,
E02001896,,,4.12,4.35,,,,,,,,,,
E02001897,,,4.12,,,,,,,,,,,
E02001898,,,4.12,4.35,,,,,,,,,,
E02001899,,,,3.57,,,,,,,,,,
E02001900,,,,3.57,,,,,,,,,,
E02001901,,,,3.57,,,,,,,,,,
E02001902,,,4.12,4.35,,,,,,,,,,
E02001903,,,4.12,3.57,,,,,,,,,,
E02001904,,,4.12,4.35,,,,,,,,,,
E02001905,,,,3.57,,,,,,,,,,
E02001906,,,,3.57,,,,,,,,,,
E02001907,,,4.12,4.35,,,,,,,,,,
E02001908,,,4.12,3.57,,,,,,,,,,
E02001909,,,,3.57,,,,,,,,,,
E02001910,,,,3.57,,,,,,,,,,
E02001911,,,,3.57,,,,,,,,,,
E02001913,,,,3.57,,,,,,,,,,
E02001914,,,,3.57,,,,,,,,,,
E02001915,,,4.12,,,,,,,,,,,
E02001916,,,4.12,3.57,,,,,,,,,,
E02001918,,,,3.57,,,,,,,,,,
E02001919,,,,3.57,,,,,,,,,,
E02001920,,,3.6,3.57,,,,,,,,,,
E02001921,,,,3.57,,,,,,,,,,
E02001922,,,,3.57,,,,,,,,,,
E02001923,,,,3.57,,,,,,,,,,
E02001924,,,,3.57,,,,,,,,,,
E02001925,,,,3.57,,,,,,,,,,
E02001926,,,,3.57,,,,,,,,,,
E02001927,,,3.6,3.57,,,,,,,,,,
E02001928,,,3.6,3.57,,,,,,,,,,
E02001929,,,,3.57,,,,,,,,,,
E02001930,,,,3.57,,,,,,,,,,
E02001931,,,,3.57,,,,,,,,,,
E02001932,,,3.6,3.57,,,,,,,,,,
E02001933,,,,3.57,,,,,,,,,,
E02001934,,,,3.57,2.97,,,,,,,,,
E02001935,,,3.6,3.57,,,,,,,,,,
E02001936,,,,3.57,,,,,,,,,,
E02001937,,,,3.57,2.97,,,,,,,,,
E02001938,,,3.6,3.57,,,,,,,,,,
E02001939,,,3.6,3.57,,,,,,,,,,
E02001941,,,,3.57,2.97,,3.81,,,,,,,
E02001942,,,3.6,3.57,,,,,,,,,,
E02001943,,,,3.57,2.97,,,,,,,,,
E02001944,,,3.6,3.57,2.97,,,,,,,,,
E02001945,,,3.6,3.57,,,,,,,,,,
E02001946,,,3.6,3.57,,,,,,,,,,
E02001947,,,3.6,3.57,2.97,,,,,,,,,
E02001948,,,,3.57,2.97,,,,,,,,,
E02001949,,,3.6,3.57,2.97,,,,,,,,,
E02001950,,,3.6,3.57,,,,,,,,,,
E02001951,,,3.6,3.57,,,,,,,,,,
E02001952,,,3.6,3.57,,,,,,,,,,
E02001953,,,3.6,3.57,2.97,,,,,,,,,
E02001954,,,3.6,3.57,2.97,,,,,,,,,
E02001955,,,3.6,3.57,,,,,,,,,,
E02001956,,,3.6,3.57,,,,,,,,,,
E02001957,,,3.6,3.57,2.97,,,,,,,,,
E02001958,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001959,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001961,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001962,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001963,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001964,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001965,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001966,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001967,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001968,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001969,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001970,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001971,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001972,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001973,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001974,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001975,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001976,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001977,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001978,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001979,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001980,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001981,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001982,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001983,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001984,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001985,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001986,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001987,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001988,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001989,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001990,5.2,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02001991,5.2,,,4.35,2.97,1.7,1.27,,,,,,,
E02001992,5.2,,,4.35,2.97,1.7,1.27,,,,,,,
E02001993,5.2,,,2.81,2.97,1.7,1.27,,,,,,,
E02001994,5.2,,,,2.97,1.7,1.27,,,,,,,
E02001995,5.2,,,,2.97,1.7,1.27,,,,,,,
E02001996,5.2,,,,2.97,1.7,1.27,,,,,,,
E02001997,5.2,,,2.81,2.97,1.7,1.27,,,,,,,
E02001998,5.2,,,2.81,2.97,1.7,1.27,,,,,,,
E02001999,5.2,,,2.81,2.97,1.7,1.27,,,,,,,
E02002000,,4.29,,,,,,,,,,,,
E02002001,,4.29,,,,,,,,,,,,
E02002002,,4.29,,,,,,,,,,,,
E02002003,,4.29,,,,,,,,,,,,
E02002004,,4.29,,,,,,,,,,,,
E02002005,,4.29,,,,,,,,,,,,
E02002006,,4.29,,,,,,,,,,,,
E02002007,,4.29,,,,,,,,,,,,
E02002008,,4.29,,,,,,,,,,,,
E02002009,,4.29,,,,,,,,,,,,
E02002010,,4.29,,,,,,,,,,,,
E02002011,,4.29,3.6,3.57,,,,,,,,,,
E02002012,,4.29,,3.57,,,,,,,,,,
E02002013,,4.29,3.6,3.57,,,,,,,,,,
E02002014,,4.29,,3.57,,,,,,,,,,
E02002015,,4.29,3.6,3.57,,,,,,,,,,
E02002016,,4.29,3.6,3.57,,,,,,,,,,
E02002017,,4.29,,3.57,,,,,,,,,,
E02002018,,,3.6,3.57,,,,,,,,,,
E02002019,,4.29,3.6,3.57,,,,,,,,,,
E02002020,,,3.6,3.57,,,,,,,,,,
E02002021,,,3.6,3.57,,,,,,,,,,
E02002022,,,3.6,3.57,,,,,,,,,,
E02002023,,,3.6,3.57,,,,,,,,,,
E02002024,,,3.6,3.57,,,,,,,,,,
E02002025,,,,3.57,,,,,,,,,,
E02002026,,,3.6,3.57,,,,,,,,,,
E02002027,,,3.6,3.57,,,,,,,,,,
E02002028,,,3.6,3.57,,,,,,,,,,
E02002029,,,3.6,3.57,,,,,,,,,,
E02002030,,,3.6,3.57,,,,,,,,,,
E02002031,,,3.6,3.57,,,,,,,,,,
E02002032,,,3.6,3.57,,,,,,,,,,
E02002033,,,3.6,3.57,,,,,,,,,,
E02002034,,,3.6,3.57,,,,,,,,,,
E02002035,,,3.6,3.57,,,,,,,,,,
E02002036,,,3.6,3.57,,,,,,,,,,
E02002037,,,3.6,3.57,,,,,,,,,,
E02002038,,,3.6,3.57,,,,,,,,,,
E02002039,,,3.6,3.57,,,,,,,,,,
E02002040,,,3.6,3.57,,,,,,,,,,
E02002041,,,3.6,3.57,,,,,,,,,,
E02002042,,,3.6,3.57,,,,,,,,,,
E02002043,,4.29,4.12,4.35,,,,,,,,,,
E02002044,,4.29,4.12,4.35,,,,,,,,,,
E02002045,,4.29,4.12,4.35,,,,,,,,,,
E02002046,,4.29,4.12,4.35,,,,,,,,,,
E02002047,,4.29,4.12,4.35,,,,,,,,,,
E02002048,,4.29,4.12,4.35,,,,,,,,,,
E02002049,,4.29,4.12,,,,,,,,,,,
E02002051,,4.29,4.12,,,,,,,,,,,
E02002052,,4.29,4.12,4.35,,,,,,,,,,
E02002053,,4.29,4.12,4.35,,,,,,,,,,
E02002054,,4.29,4.12,4.35,,,,,,,,,,
E02002055,,4.29,4.12,,,,,,,,,,,
E02002056,,4.29,,,,,,,,,,,,
E02002057,,4.29,,,,,,,,,,,,
E02002058,,4.29,,,,,,,,,,,,
E02002059,,4.29,4.12,,,,,,,,,,,
E02002060,,4.29,4.12,,,,,,,,,,,
E02002061,,4.29,4.12,,,,,,,,,,,
E02002062,,4.29,4.12,,,,,,,,,,,
E02002063,,4.29,,,,,,,,,,,,
E02002064,,4.29,,,,,,,,,,,,
E02002065,,4.29,4.12,,,,,,,,,,,
E02002066,,4.29,,,,,,,,,,,,
E02002067,,4.29,,3.57,,,,,,,,,,
E02002068,,4.29,4.12,,,,,,,,,,,
E02002069,,4.29,,3.57,,,,,,,,,,
E02002070,,4.29,,,,,,,,,,,,
E02002071,,4.29,,3.57,,,,,,,,,,
E02002072,,4.29,,3.57,,,,,,,,,,
E02002073,,4.29,,3.57,,,,,,,,,,
E02002074,,4.29,,3.57,,,,,,,,,,
E02002075,,,,3.57,,,,,,,,,,
E02002076,,,,3.57,,,,,,,,,,
E02002077,,,3.6,3.57,,,,,,,,,,
E02002078,,,,3.57,,,,,,,,,,
E02002079,,,,3.57,,,,,,,,,,
E02002080,,,3.6,3.57,,,,,,,,,,
E02002081,,4.29,4.12,4.35,,,,,,,,,,
E02002082,,4.29,4.12,4.35,,,,,,,,,,
E02002083,,4.29,4.12,4.35,,,,,,,,,,
E02002084,,,4.12,4.35,,,,,,,,,,
E02002085,,,4.12,4.35,,,,,,,,,,
E02002086,,,4.12,4.35,,,,,,,,,,
E02002087,,,4.12,4.35,,,,,,,,,,
E02002088,,,4.12,4.35,,,1.27,,,,,,,
E02002089,,,4.12,4.35,,,,,,,,,,
E02002090,,,4.12,4.35,,,,,,,,,,
E02002091,,,4.12,4.35,,,,,,,,,,
E02002092,,,4.12,3.57,,,,,,,,,,
E02002093,,,,3.57,2.97,,,,,,,,,
E02002094,,,,3.57,2.97,,,,,,,,,
E02002095,,,4.12,3.57,2.97,,,,,,,,,
E02002096,,,,3.57,2.97,,,,,,,,,
E02002097,,,4.12,4.35,2.97,1.7,1.27,,,,,,,
E02002098,,,,3.57,2.97,,,,,,,,,
E02002099,,,,3.57,2.97,,,,,,,,,
E02002101,,,,3.57,2.97,,,,,,,,,
E02002102,,,,3.57,2.97,1.7,,,,,,,,
E02002103,,,,3.57,2.97,,,,,,,,,
E02002104,,,,3.57,2.97,1.7,,,,,,,,
E02002105,,,,3.57,2.97,1.7,1.27,,,,,,,
E02002106,,,,3.57,2.97,1.7,4.53,3.67,,,,,,
E02002107,,,,3.57,2.97,1.7,,,,,,,,
E02002108,,,,3.57,2.97,1.7,,,,,,,,
E02002109,,,3.6,3.57,2.97,1.7,,,,,,,,
E02002110,,4.29,4.12,4.35,,1.76,,,,,,,,
E02002111,,4.29,4.12,4.35,,1.76,,,,,,,,
E02002112,,4.29,4.12,4.35,,,,,,,,,,
E02002113,,4.29,4.12,4.35,,,,,,,,,,
E02002114,,4.29,4.12,4.35,,,,,,,,,,
E02002115,,4.29,4.12,4.35,,,,,,,,,,
E02002116,,4.29,4.12,4.35,,,,,,,,,,
E02002117,,4.29,4.12,4.35,,,,,,,,,,
E02002118,,4.29,4.12,4.35,,,,,,,,,,
E02002119,,4.29,4.12,4.35,,,,,,,,,,
E02002120,,4.29,4.12,4.35,,,,,,,,,,
E02002121,,4.29,4.12,4.35,,,,,,,,,,
E02002122,,4.29,4.12,4.35,,,,,,,,,,
E02002123,,4.29,4.12,4.35,,,,,,,,,,
E02002124,,4.29,4.12,4.35,,,,,,,,,,
E02002125,,4.29,4.12,4.35,,,,,,,,,,
E02002126,,4.29,4.12,4.35,,,,,,,,,,
E02002127,,4.29,4.12,4.35,,,,,,,,,,
E02002128,,4.29,4.12,4.35,,,,,,,,,,
E02002129,,4.29,4.12,4.35,,,,,,,,,,
E02002130,,4.29,4.12,4.35,,,,,,,,,,
E02002131,,4.29,4.12,4.35,,,,,,,,,,
E02002132,,4.29,4.12,4.35,,,5.06,,,,,,,
E02002133,,4.29,4.12,4.35,,,,,,,,,,
E02002134,,4.29,4.12,4.35,,,,,,,,,,
E02002135,,4.29,4.12,4.35,,,,,,,,,,
E02002136,,4.29,4.12,4.35,,,,,,,,,,
E02002137,,4.29,4.12,4.35,,,,,,,,,,
E02002138,,4.29,4.12,4.35,,,,,,,,,,
E02002139,,4.29,4.12,4.35,,,,,,,,,,
E02002140,,4.29,4.12,4.35,,,,,,,,,,
E02002141,,4.29,4.12,4.35,,,,,,,,,,
E02002142,,4.29,4.12,4.35,,,,,,,,,,
E02002143,,4.29,4.12,4.35,,,,,,,,,,
E02002144,,4.29,4.12,4.35,,,,,,,,,,
E02002145,,4.29,4.12,4.35,,,,,,,,,,
E02002146,,4.29,4.12,4.35,,,,,,,,,,
E02002147,,4.29,4.12,4.35,,,,,,,,,,
E02002148,,4.29,4.12,4.35,,,,,,,,,,
E02002149,,4.29,4.12,4.35,,,,,,,,,,
E02002150,,4.29,4.12,,,,,,,,,,,
E02002151,,4.29,4.12,,,,,,,,,,,
E02002152,,4.29,4.12,4.35,,,,,,,,,,
E02002153,,4.29,4.12,4.35,,,,,,,,,,
E02002154,,4.29,4.12,,,,,,,,,,,
E02002155,,4.29,4.12,,,,,,,,,,,
E02002156,,4.29,4.12,4.35,,,,,,,,,,
E02002157,,4.29,,,,,,,,,,,,
E02002158,,4.29,4.12,4.35,,,,,,,,,,
E02002159,,4.29,4.12,,,,,,,,,,,
E02002160,,4.29,4.12,4.35,,,,,,,,,,
E02002161,,4.29,,,,,,,,,,,,
E02002162,,4.29,,,,,,,,,,,,
E02002163,,4.29,4.12,,,,,,,,,,,
E02002164,,4.29,4.12,,,,,,,,,,,
E02002165,,4.29,,,,,,,,,,,,
E02002166,,4.29,4.12,,,,,,,,,,,
E02002167,,4.29,,,,,,,,,,,,
E02002168,,4.29,,,,,,,,,,,,
E02002169,,4.29,,,,,,,,,,,,
E02002170,,4.29,4.12,4.35,,,,,,,,,,
E02002171,,4.29,4.12,,,,,,,,,,,
E02002174,,4.29,,,,,,,,,,,,
E02002175,,4.29,4.12,,,,,,,,,,,
E02002176,,4.29,,,,,,,,,,,,
E02002177,,4.29,4.12,,,,,,,,,,,
E02002178,,4.29,,,,,,,,,,,,
E02002179,,4.29,,,,,,,,,,,,
E02002180,,4.29,,,,,,,,,,,,
E02002181,,4.29,4.12,,,,,,,,,,,
E02002182,,4.29,,,,,,,,,,,,
E02002183,,3,2.76,3.71,2.54,1.72,1.44,2.36,,,,,,
E02002184,,3,2.76,3.71,2.54,1.72,1.44,2.36,,,,,,
E02002185,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002186,,3,2.76,3.71,2.54,1.72,1.44,2.36,,,,,,
E02002187,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002188,,3,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002189,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002190,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002191,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002192,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002193,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002194,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002195,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002196,,3,2.76,3.71,2.54,1.72,,,,,,,,
E02002197,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002198,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002199,,,,,2.54,1.63,1.44,,,,,,,
E02002200,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
E02002201,,,,,2.54,,1.44,,,,,,,
E02002202,,,2.76,3.71,2.54,1.72,1.44,,,,,,,
