"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000547"	2.0
"E01000548"	0.9
"E01000549"	1.8
"E01000550"	0.4
"E01000551"	1.1
"E01000552"	0.5
"E01000553"	5.3
"E01000554"	3.4
"E01000555"	12.6
"E01000556"	4.8
"E01000557"	3.0
"E01000558"	12.3
"E01000559"	1.5
"E01000560"	9.6
"E01000561"	2.9
"E01000562"	70.4
"E01000563"	19.3
"E01000564"	4.3
"E01000565"	9.1
"E01000566"	4.4
"E01000567"	10.8
"E01000568"	4.7
"E01000569"	5.5
"E01000570"	5.3
"E01000571"	4.7
"E01000572"	6.4
"E01000573"	6.1
"E01000574"	4.8
"E01000575"	5.3
"E01000576"	7.2
"E01000577"	2.7
"E01000578"	17.5
"E01000579"	4.7
"E01000580"	0.7
"E01000581"	1.7
"E01000582"	1.5
"E01000583"	1.4
"E01000584"	1.7
"E01000585"	0.8
"E01000586"	2.0
"E01000587"	6.9
"E01000588"	4.3
"E01000589"	5.0
"E01000590"	2.7
"E01000591"	4.7
"E01000592"	8.5
"E01000593"	7.9
"E01000594"	5.2
"E01000595"	6.7
"E01000596"	3.4
"E01000599"	6.6
"E01000600"	4.1
"E01000601"	7.4
"E01000602"	3.5
"E01000603"	3.0
"E01000604"	5.5
"E01000605"	7.2
"E01000606"	4.4
"E01000607"	26.7
"E01000608"	6.6
"E01000609"	4.9
"E01000610"	14.2
"E01000611"	6.7
"E01000612"	6.6
"E01000613"	6.8
"E01000615"	2.4
"E01000616"	6.2
"E01000617"	4.9
"E01000618"	4.7
"E01000619"	5.2
"E01000620"	7.1
"E01000621"	5.5
"E01000622"	3.8
"E01000623"	4.4
"E01000624"	12.4
"E01000625"	15.3
"E01000626"	5.0
"E01000627"	4.6
"E01000628"	6.2
"E01000629"	5.1
"E01000630"	4.1
"E01000631"	7.0
"E01000632"	8.7
"E01000633"	8.8
"E01000634"	5.9
"E01000635"	7.3
"E01000636"	5.6
"E01000637"	4.9
"E01000638"	4.1
"E01000639"	2.7
"E01000640"	3.6
"E01000641"	4.5
"E01000642"	1.5
"E01000643"	2.7
"E01000644"	3.5
"E01000645"	80.4
"E01000646"	21.4
"E01000647"	3.2
"E01000648"	20.7
"E01000649"	55.3
"E01000650"	59.8
"E01000651"	18.9
"E01000652"	20.3
"E01000653"	56.6
"E01000654"	22.4
"E01000655"	14.5
"E01000656"	58.9
"E01000657"	27.2
"E01000658"	46.8
"E01000659"	38.1
"E01000661"	4.1
"E01000662"	6.2
"E01000663"	3.9
"E01000664"	15.9
"E01000665"	20.9
"E01000666"	59.5
"E01000667"	56.9
"E01000668"	9.2
"E01000669"	5.7
"E01000670"	26.8
"E01000671"	6.2
"E01000672"	15.5
"E01000673"	10.6
"E01000674"	4.4
"E01000675"	11.6
"E01000676"	1.3
"E01000677"	3.4
"E01000678"	4.8
"E01000679"	2.6
"E01000680"	61.7
"E01000681"	10.2
"E01000682"	8.8
"E01000683"	21.0
"E01000684"	49.2
"E01000685"	12.8
"E01000686"	43.1
"E01000687"	37.3
"E01000688"	55.7
"E01000689"	13.0
"E01000690"	23.6
"E01000691"	2.7
"E01000692"	8.7
"E01000693"	42.9
"E01000694"	66.2
"E01000695"	45.2
"E01000696"	56.2
"E01000697"	23.6
"E01000698"	89.4
"E01000699"	2.2
"E01000700"	2.8
"E01000701"	3.7
"E01000702"	4.6
"E01000703"	5.4
"E01000704"	1.4
"E01000705"	4.5
"E01000706"	3.3
"E01000707"	2.6
"E01000708"	3.8
"E01000709"	4.2
"E01000710"	6.5
"E01000711"	4.3
"E01000712"	12.4
"E01000713"	15.5
"E01000714"	1.4
"E01000715"	8.7
"E01000716"	33.1
"E01000717"	12.5
"E01000718"	5.7
"E01000719"	3.6
"E01000720"	11.6
"E01000721"	2.8
"E01000722"	11.6
"E01000723"	11.6
"E01000724"	2.8
"E01000725"	4.6
"E01000726"	13.1
"E01000727"	16.3
"E01000728"	9.1
"E01000729"	1.3
"E01000730"	3.0
"E01000731"	6.0
"E01000732"	38.6
"E01000733"	13.2
"E01000734"	24.6
"E01000735"	6.8
"E01000736"	6.1
"E01000737"	17.3
"E01000738"	11.7
"E01000739"	3.3
"E01000740"	1.4
"E01000741"	2.5
"E01000742"	1.7
"E01000743"	2.6
"E01000744"	2.6
"E01000745"	4.1
"E01000746"	2.8
"E01000747"	45.6
"E01000748"	68.9
"E01000749"	54.7
"E01000750"	16.2
"E01000751"	25.4
"E01000752"	25.5
"E01000753"	59.1
"E01000754"	19.0
"E01000755"	28.4
"E01000756"	66.1
"E01000757"	51.6
"E01000758"	32.7
"E01000759"	19.0
"E01000760"	10.6
"E01000761"	10.3
"E01000762"	30.9
"E01000763"	10.2
"E01000764"	6.0
"E01000765"	21.4
"E01000766"	22.5
"E01000767"	8.8
"E01000768"	40.5
"E01000769"	2.6
"E01000770"	27.3
"E01000771"	6.7
"E01000772"	27.8
"E01000773"	3.7
"E01000774"	1.5
"E01000775"	19.9
"E01000777"	1.4
"E01000778"	2.7
"E01000779"	25.5
"E01000780"	2.1
"E01000781"	3.4
"E01000782"	3.2
"E01000783"	4.0
"E01000784"	2.8
"E01000785"	8.0
"E01000786"	50.8
"E01000787"	4.5
"E01000788"	9.7
"E01000789"	1.8
"E01000790"	22.6
"E01000791"	11.1
"E01000792"	10.8
"E01000793"	40.4
"E01000794"	31.3
"E01000795"	21.5
"E01000796"	2.6
"E01000797"	8.3
"E01000798"	2.4
"E01000799"	1.5
"E01000800"	2.1
"E01000801"	1.5
"E01000802"	3.5
"E01000803"	6.2
"E01000804"	4.7
"E01000805"	1.3
"E01000806"	2.4
"E01000807"	17.4
"E01000808"	39.5
"E01000809"	6.9
"E01000810"	34.8
"E01000811"	6.4
"E01000812"	41.4
"E01000813"	8.8
"E01000814"	66.8
"E01000815"	51.2
"E01000816"	7.1
"E01000818"	12.1
"E01000819"	3.7
"E01000820"	21.2
"E01000822"	7.4
"E01000823"	12.6
"E01000824"	4.2
"E01000825"	3.1
"E01000826"	58.3
"E01000827"	31.4
"E01000828"	13.5
"E01000829"	4.3
"E01000830"	84.0
"E01000831"	29.7
"E01000832"	20.5
"E01000833"	45.2
"E01000834"	8.0
"E01000835"	9.4
"E01000836"	6.4
"E01000837"	13.0
"E01000838"	22.3
"E01000839"	17.8
"E01000840"	31.2
"E01000841"	12.8
"E01000842"	2.2
"E01000843"	0.6
"E01000844"	0.5
"E01000845"	1.4
"E01000846"	0.9
"E01000847"	1.1
"E01000848"	1.4
"E01000849"	0.4
"E01000850"	0.1
"E01000851"	0.4
"E01000852"	0.1
"E01000853"	0.0
"E01000854"	0.4
"E01000855"	0.8
"E01000856"	1.2
"E01000857"	1.0
"E01000858"	1.2
"E01000859"	0.2
"E01000860"	1.4
"E01000861"	1.0
"E01000862"	1.0
"E01000863"	1.1
"E01000864"	1.3
"E01000865"	2.5
"E01000866"	1.5
"E01000867"	0.1
"E01000868"	2.2
"E01000869"	0.5
"E01000870"	0.8
"E01000871"	8.1
"E01000872"	4.6
"E01000873"	2.1
"E01000874"	0.4
"E01000875"	2.3
"E01000876"	1.0
"E01000877"	2.0
"E01000878"	7.1
"E01000879"	7.8
"E01000880"	7.6
"E01000881"	5.4
"E01000882"	3.8
"E01000883"	1.8
"E01000884"	12.1
"E01000885"	16.5
"E01000886"	0.9
"E01000887"	0.8
"E01000888"	1.0
"E01000889"	2.7
"E01000890"	0.1
"E01000891"	1.0
"E01000892"	1.2
"E01000893"	1.2
"E01000894"	4.2
"E01000895"	1.3
"E01000896"	5.0
"E01000897"	3.3
"E01000898"	2.5
"E01000899"	8.5
"E01000900"	0.8
"E01000901"	0.1
"E01000902"	0.3
"E01000903"	1.4
"E01000904"	0.6
"E01000905"	0.6
"E01000906"	1.3
"E01000907"	2.2
